"Part";"Value";"Device";"Package";"Description";"";
"R46";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R47";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R48";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R49";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R50";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R51";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R52";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R53";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R54";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R55";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R56";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R57";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R58";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R59";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R60";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R61";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R62";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R63";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R64";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R65";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R66";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R67";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R68";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R69";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R70";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R71";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R72";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R73";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R74";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R75";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R76";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R77";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R78";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R79";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R80";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R81";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R82";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R83";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R84";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R85";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R86";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R87";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R88";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R89";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R90";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R91";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R92";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R93";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R94";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R95";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R96";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R97";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R98";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R99";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R100";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R101";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R102";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R103";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R104";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R105";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R106";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R107";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R108";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R109";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R110";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R111";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R112";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R113";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R114";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R115";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R116";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R117";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R118";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R119";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R120";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R121";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R122";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R123";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R124";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R125";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R126";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R127";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R128";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R129";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R130";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R131";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R132";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R133";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R134";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R135";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R136";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R137";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R138";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R139";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R140";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R141";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R142";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R143";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R144";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R145";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R146";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R147";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R148";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R149";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R150";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R151";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R152";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R153";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R154";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R155";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R156";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R157";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R158";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R159";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R160";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"X1";"DSUBIN";"F37VP";"F37VP";"SUB-D";"";
