"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"TP3";"TPSB1,27";"TPSB1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";
"TP4";"TPSB1,27";"TPSB1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";
"TP5";"TPSB1,27";"TPSB1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";
"U1";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U2";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U3";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U4";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U5";"ADA4552-2ARM";"ADA4552-2ARM";"SOP65P490X110-8N";"16 V, 1 MHz, CMOS Rail-to-Rail Input/Output Operational Amplifier";"ADA4552-2ARMZ";"-";"71P7789";"MSOP-8";"Analog Devices";"";
"U6";"ADA4552-2ARM";"ADA4552-2ARM";"SOP65P490X110-8N";"16 V, 1 MHz, CMOS Rail-to-Rail Input/Output Operational Amplifier";"ADA4552-2ARMZ";"-";"71P7789";"MSOP-8";"Analog Devices";"";
"U7";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U8";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U9";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
"U10";"ADG801BRTZ-REEL7";"ADG801BRTZ-REEL7";"SOT95P280X145-6N";"<0.4 Ù CMOS 1.8 V to 5.5 V SPST Switches";"ADG801BRTZ-REEL7";"1838889";"59K1626";"SOT-23-6";"Analog Devices";"";
