##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 29-Apr-2016 16:37:17
Description of this ExpSetup file : Nir Drift Experiment, Anya/Anka
ExpSetup created : 19-Aug-2015 10:30:51
The EEG system file stored was : C:\EIT-DATA\Nir - Cardiff Phant third go 290416\CardiffPhant_NoJ_REC_290416.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "SingleFreqMode" - single amp and freq, running continuously
Amplitude: 100 uA
Frequency: 2000 Hz
Protocol loaded was Spiral16_ScousTom.txt with 34 lines 
Sources	Sinks
6	1
7	2
11	6
11	7
10	6
7	3
7	1
6	2
14	1
10	5
14	2
5	1
8	3
8	2
8	4
9	4
9	5
10	4
14	10
14	11
9	3
8	5
15	3
16	4
12	9
15	11
16	12
15	12
16	13
15	13
12	7
13	1
13	10
16	6
--------------
Number of repeats : 7000 
Injection time per protocol line : 100 ms or 0.10 s
Estimated time to complete measurements : 6.61 hours 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
8313.20s	R2438	
8316.60s	R2439	
8320.01s	R2440	
8323.40s	R2441	
8326.81s	R2442	
8330.20s	R2443	
8333.61s	R2444	
8337.00s	R2445	
8340.39s	R2446	
8343.80s	R2447	
8347.19s	R2448	
8350.60s	R2449	
8354.01s	R2450	
8357.40s	R2451	
8360.81s	R2452	
8364.20s	R2453	
8367.61s	R2454	
8371.00s	R2455	
8374.41s	R2456	
8377.81s	R2457	
8381.20s	R2458	
8384.61s	R2459	
8388.00s	R2460	
8391.41s	R2461	
8394.80s	R2462	
8398.21s	R2463	
8401.60s	R2464	
8405.01s	R2465	
8408.40s	R2466	
8411.81s	R2467	
8415.20s	R2468	
8418.61s	R2469	
8422.00s	R2470	
8425.41s	R2471	
8428.80s	R2472	
8432.21s	R2473	
8435.60s	R2474	
8439.01s	R2475	
8442.40s	R2476	
8445.81s	R2477	
8449.20s	R2478	
8452.61s	R2479	
8456.02s	R2480	
8459.41s	R2481	
8462.80s	R2482	
8466.21s	R2483	
8469.60s	R2484	
8473.01s	R2485	
8476.41s	R2486	
8479.82s	R2487	
8483.21s	R2488	
8486.62s	R2489	
8490.01s	R2490	
8493.42s	R2491	
8496.81s	R2492	
8500.22s	R2493	
8503.61s	R2494	
8507.02s	R2495	
8510.41s	R2496	
8513.82s	R2497	
8517.21s	R2498	
8520.62s	R2499	
8524.01s	R2500	
8527.42s	R2501	
8530.81s	R2502	
8534.22s	R2503	
8537.61s	R2504	
8541.02s	R2505	
8544.41s	R2506	
8547.82s	R2507	
8551.21s	R2508	
8554.63s	R2509	
8558.01s	R2510	
8561.43s	R2511	
8564.82s	R2512	
8568.23s	R2513	
8571.62s	R2514	
8575.03s	R2515	
8578.42s	R2516	
8581.83s	R2517	
8585.23s	R2518	
8588.62s	R2519	
8592.03s	R2520	
8595.42s	R2521	
8598.83s	R2522	
8602.22s	R2523	
8605.62s	R2524	
8609.02s	R2525	
8612.43s	R2526	
8615.82s	R2527	
8619.21s	R2528	
8622.62s	R2529	
8626.01s	R2530	
8629.42s	R2531	
8632.83s	R2532	
8636.23s	R2533	
8639.62s	R2534	
8643.03s	R2535	
8646.42s	R2536	
8649.82s	R2537	
8653.23s	R2538	
8656.62s	R2539	
8660.03s	R2540	
8663.44s	R2541	
8666.83s	R2542	
8670.24s	R2543	
8673.63s	R2544	
8677.02s	R2545	
8680.43s	R2546	
8683.83s	R2547	
8687.24s	R2548	
8690.62s	R2549	
8694.04s	R2550	
8697.43s	R2551	
8700.84s	R2552	
8704.23s	R2553	
8707.64s	R2554	
8711.03s	R2555	
8714.44s	R2556	
8717.83s	R2557	
8721.24s	R2558	
8724.63s	R2559	
8728.04s	R2560	
8731.43s	R2561	
8734.83s	R2562	
8738.23s	R2563	
8741.64s	R2564	
8745.03s	R2565	
8748.42s	R2566	
8751.83s	R2567	
8755.22s	R2568	
8758.63s	R2569	
8762.04s	R2570	
8765.44s	R2571	
8768.83s	R2572	
8772.24s	R2573	
8775.63s	R2574	
8779.04s	R2575	
8782.43s	R2576	
8785.82s	R2577	
8789.23s	R2578	
8792.64s	R2579	
8796.03s	R2580	
8799.44s	R2581	
8802.83s	R2582	
8806.25s	R2583	
8809.64s	R2584	
8813.04s	R2585	
8816.44s	R2586	
8819.83s	R2587	
8823.24s	R2588	
8826.63s	R2589	
8830.04s	R2590	
8833.43s	R2591	
8836.84s	R2592	
8840.23s	R2593	
8843.64s	R2594	
8847.03s	R2595	
8850.44s	R2596	
8853.83s	R2597	
8857.25s	R2598	
8860.64s	R2599	
8864.05s	R2600	
8867.44s	R2601	
8870.85s	R2602	
8874.24s	R2603	
8877.65s	R2604	
8881.04s	R2605	
8884.45s	R2606	
8887.84s	R2607	
8891.25s	R2608	
8894.64s	R2609	
8898.05s	R2610	
8901.44s	R2611	
8904.85s	R2612	
8908.24s	R2613	
8911.65s	R2614	
8915.04s	R2615	
8918.45s	R2616	
8921.84s	R2617	
8925.25s	R2618	
8928.64s	R2619	
8932.05s	R2620	
8935.44s	R2621	
8938.85s	R2622	
8942.24s	R2623	
8945.65s	R2624	
8949.04s	R2625	
8952.45s	R2626	
8955.84s	R2627	
8959.25s	R2628	
8962.64s	R2629	
8966.05s	R2630	
8969.44s	R2631	
8972.86s	R2632	
8976.25s	R2633	
8979.66s	R2634	
8983.05s	R2635	
8986.46s	R2636	
8989.85s	R2637	
8993.26s	R2638	
8996.65s	R2639	
9000.06s	R2640	
9003.45s	R2641	
9006.86s	R2642	
9010.25s	R2643	
9013.66s	R2644	
9017.05s	R2645	
9020.46s	R2646	
9023.85s	R2647	
9027.26s	R2648	
9030.65s	R2649	
9034.06s	R2650	
9037.45s	R2651	
9040.86s	R2652	
9044.25s	R2653	
9047.66s	R2654	
9051.05s	R2655	
9054.46s	R2656	
9057.85s	R2657	
9061.26s	R2658	
9064.65s	R2659	
9068.06s	R2660	
9071.45s	R2661	
9074.86s	R2662	
9078.25s	R2663	
9081.66s	R2664	
9085.05s	R2665	
9088.46s	R2666	
9091.85s	R2667	
9095.26s	R2668	
9098.67s	R2669	
9102.07s	R2670	
9105.46s	R2671	
9108.87s	R2672	
9112.26s	R2673	
9115.67s	R2674	
9119.06s	R2675	
9122.47s	R2676	
9125.86s	R2677	
9129.27s	R2678	
9132.66s	R2679	
9136.07s	R2680	
9139.46s	R2681	
9142.87s	R2682	
9146.26s	R2683	
9149.67s	R2684	
9153.06s	R2685	
9156.47s	R2686	
9159.86s	R2687	
9163.27s	R2688	
9166.66s	R2689	
9170.07s	R2690	
9173.46s	R2691	
9176.87s	R2692	
9180.26s	R2693	
9183.67s	R2694	
9187.07s	R2695	
9190.47s	R2696	
9193.87s	R2697	
9197.26s	R2698	
9200.67s	R2699	
9204.08s	R2700	
9207.47s	R2701	
9210.88s	R2702	
9214.27s	R2703	
9217.68s	R2704	
9221.07s	R2705	
9224.47s	R2706	
9227.87s	R2707	
9231.26s	R2708	
9234.67s	R2709	
9238.06s	R2710	
9241.47s	R2711	
9244.86s	R2712	
9248.27s	R2713	
9251.68s	R2714	
9255.08s	R2715	
9258.47s	R2716	
9261.88s	R2717	
9265.27s	R2718	
9268.66s	R2719	
9272.07s	R2720	
9275.48s	R2721	
9278.88s	R2722	
9282.27s	R2723	
9285.68s	R2724	
9289.07s	R2725	
9292.48s	R2726	
9295.87s	R2727	
9299.28s	R2728	
9302.67s	R2729	
9306.08s	R2730	
9309.47s	R2731	
9312.88s	R2732	
9316.27s	R2733	
9319.68s	R2734	
9323.07s	R2735	
9326.49s	R2736	
9329.87s	R2737	
9333.28s	R2738	
9336.67s	R2739	
9340.09s	R2740	
9343.47s	R2741	
9346.89s	R2742	
9350.28s	R2743	
9353.68s	R2744	
9357.08s	R2745	
9360.47s	R2746	
9363.89s	R2747	
9367.28s	R2748	
9370.69s	R2749	
9374.08s	R2750	
9377.49s	R2751	
9380.88s	R2752	
9384.29s	R2753	
9387.68s	R2754	
9391.09s	R2755	
9394.48s	R2756	
9397.89s	R2757	
9401.28s	R2758	
9404.69s	R2759	
9408.08s	R2760	
9411.49s	R2761	
9414.88s	R2762	
9418.29s	R2763	
9421.68s	R2764	
9425.09s	R2765	
9428.48s	R2766	
9431.89s	R2767	
9435.29s	R2768	
9438.68s	R2769	
9442.09s	R2770	
9445.48s	R2771	
9448.89s	R2772	
9452.28s	R2773	
9455.69s	R2774	
9459.08s	R2775	
9462.49s	R2776	
9465.88s	R2777	
9469.29s	R2778	
9472.68s	R2779	
9476.08s	R2780	
9479.49s	R2781	
9482.89s	R2782	
9486.29s	R2783	
9489.68s	R2784	
9493.09s	R2785	
9496.49s	R2786	
9499.89s	R2787	
9503.29s	R2788	
9506.70s	R2789	
9510.08s	R2790	
9513.50s	R2791	
9516.89s	R2792	
9520.30s	R2793	
9523.69s	R2794	
9527.10s	R2795	
9530.49s	R2796	
9533.90s	R2797	
9537.29s	R2798	
9540.70s	R2799	
9544.09s	R2800	
9547.50s	R2801	
9550.89s	R2802	
9554.30s	R2803	
9557.69s	R2804	
9561.10s	R2805	
9564.49s	R2806	
9567.90s	R2807	
9571.29s	R2808	
9574.70s	R2809	
9578.09s	R2810	
9581.50s	R2811	
9584.89s	R2812	
9588.30s	R2813	
9591.69s	R2814	
9595.10s	R2815	
9598.49s	R2816	
9601.90s	R2817	
9605.29s	R2818	
9608.70s	R2819	
9612.09s	R2820	
9615.50s	R2821	
9618.89s	R2822	
9622.30s	R2823	
9625.69s	R2824	
9629.10s	R2825	
9632.49s	R2826	
9635.90s	R2827	
9639.29s	R2828	
9642.70s	R2829	
9646.09s	R2830	
9649.50s	R2831	
9652.89s	R2832	
9656.30s	R2833	
9659.69s	R2834	
9663.10s	R2835	
9666.51s	R2836	
9669.91s	R2837	
9673.30s	R2838	
9676.71s	R2839	
9680.10s	R2840	
9683.51s	R2841	
9686.90s	R2842	
9690.31s	R2843	
9693.70s	R2844	
9697.11s	R2845	
9700.50s	R2846	
9703.91s	R2847	
9707.31s	R2848	
9710.72s	R2849	
9714.11s	R2850	
9717.52s	R2851	
9720.91s	R2852	
9724.32s	R2853	
9727.71s	R2854	
9731.12s	R2855	
9734.51s	R2856	
9737.90s	R2857	
9741.31s	R2858	
9744.70s	R2859	
9748.11s	R2860	
9751.50s	R2861	
9754.91s	R2862	
9758.30s	R2863	
9761.71s	R2864	
9765.10s	R2865	
9768.51s	R2866	
9771.91s	R2867	
9775.32s	R2868	
9778.71s	R2869	
9782.12s	R2870	
9785.51s	R2871	
9788.92s	R2872	
9792.31s	R2873	
9795.72s	R2874	
9799.11s	R2875	
9802.52s	R2876	
9805.91s	R2877	
9809.32s	R2878	
9812.71s	R2879	
9816.12s	R2880	
9819.51s	R2881	
9822.92s	R2882	
9826.31s	R2883	
9829.72s	R2884	
9833.11s	R2885	
9836.52s	R2886	
9839.91s	R2887	
9843.32s	R2888	
9846.71s	R2889	
9850.12s	R2890	
9853.51s	R2891	
9856.92s	R2892	
9860.31s	R2893	
9863.72s	R2894	
9867.11s	R2895	
9870.52s	R2896	
9873.91s	R2897	
9877.32s	R2898	
9880.71s	R2899	
9884.12s	R2900	
9887.51s	R2901	
9890.92s	R2902	
9894.31s	R2903	
9897.72s	R2904	
9901.11s	R2905	
9904.52s	R2906	
9907.91s	R2907	
9911.33s	R2908	
9914.71s	R2909	
9918.13s	R2910	
9921.51s	R2911	
9924.93s	R2912	
9928.32s	R2913	
9931.73s	R2914	
9935.12s	R2915	
9938.53s	R2916	
9941.92s	R2917	
9945.33s	R2918	
9948.72s	R2919	
9952.13s	R2920	
9955.52s	R2921	
9958.93s	R2922	
9962.32s	R2923	
9965.73s	R2924	
9969.12s	R2925	
9972.53s	R2926	
9975.92s	R2927	
9979.34s	R2928	
9982.73s	R2929	
9986.14s	R2930	
9989.53s	R2931	
9992.92s	R2932	
9996.33s	R2933	
9999.74s	R2934	
10003.14s	R2935	
10006.53s	R2936	
10009.94s	R2937	
10013.33s	R2938	
10016.72s	R2939	
10020.13s	R2940	
10023.52s	R2941	
10026.93s	R2942	
10030.32s	R2943	
10033.73s	R2944	
10037.12s	R2945	
10040.53s	R2946	
10043.92s	R2947	
10047.33s	R2948	
10050.73s	R2949	
10054.14s	R2950	
10057.53s	R2951	
10060.94s	R2952	
10064.33s	R2953	
10067.74s	R2954	
10071.13s	R2955	
10074.54s	R2956	
10077.94s	R2957	
10081.34s	R2958	
10084.73s	R2959	
10088.14s	R2960	
10091.53s	R2961	
10094.93s	R2962	
10098.34s	R2963	
10101.73s	R2964	
10105.14s	R2965	
10108.53s	R2966	
10111.94s	R2967	
10115.33s	R2968	
10118.74s	R2969	
10122.13s	R2970	
10125.54s	R2971	
10128.95s	R2972	
10132.35s	R2973	
10135.74s	R2974	
10139.15s	R2975	
10142.54s	R2976	
10145.93s	R2977	
10149.34s	R2978	
10152.73s	R2979	
10156.14s	R2980	
10159.55s	R2981	
10162.94s	R2982	
10166.33s	R2983	
10169.74s	R2984	
10173.13s	R2985	
10176.54s	R2986	
10179.94s	R2987	
10183.35s	R2988	
10186.74s	R2989	
10190.15s	R2990	
10193.54s	R2991	
10196.95s	R2992	
10200.34s	R2993	
10203.75s	R2994	
10207.14s	R2995	
10210.55s	R2996	
10213.94s	R2997	
10217.35s	R2998	
10220.74s	R2999	
10224.15s	R3000	
10227.54s	R3001	
10230.95s	R3002	
10234.34s	R3003	
10237.75s	R3004	
10241.14s	R3005	
10244.55s	R3006	
10247.94s	R3007	
10251.35s	R3008	
10254.74s	R3009	
10258.15s	R3010	
10261.54s	R3011	
10264.95s	R3012	
10268.34s	R3013	
10271.75s	R3014	
10275.14s	R3015	
10278.55s	R3016	
10281.94s	R3017	
10285.35s	R3018	
10288.74s	R3019	
10292.15s	R3020	
10295.54s	R3021	
10298.95s	R3022	
10302.34s	R3023	
10305.75s	R3024	
10309.16s	R3025	
10312.56s	R3026	
10315.95s	R3027	
10319.36s	R3028	
10322.75s	R3029	
10326.16s	R3030	
10329.55s	R3031	
10332.96s	R3032	
10336.35s	R3033	
10339.76s	R3034	
10343.15s	R3035	
10346.56s	R3036	
10349.95s	R3037	
10353.36s	R3038	
10356.75s	R3039	
10360.16s	R3040	
10363.57s	R3041	
10366.97s	R3042	
10370.36s	R3043	
10373.75s	R3044	
10377.16s	R3045	
10380.55s	R3046	
10383.96s	R3047	
10387.35s	R3048	
10390.76s	R3049	
10394.15s	R3050	
10397.56s	R3051	
10400.95s	R3052	
10404.36s	R3053	
10407.75s	R3054	
10411.16s	R3055	
10414.55s	R3056	
10417.96s	R3057	
10421.36s	R3058	
10424.77s	R3059	
10428.16s	R3060	
10431.57s	R3061	
10434.96s	R3062	
10438.36s	R3063	
10441.76s	R3064	
10445.16s	R3065	
10448.56s	R3066	
10451.96s	R3067	
10455.37s	R3068	
10458.76s	R3069	
10462.17s	R3070	
10465.57s	R3071	
10468.97s	R3072	
10472.36s	R3073	
10475.77s	R3074	
10479.16s	R3075	
10482.57s	R3076	
10485.96s	R3077	
10489.37s	R3078	
10492.76s	R3079	
10496.17s	R3080	
10499.56s	R3081	
10502.97s	R3082	
10506.36s	R3083	
10509.77s	R3084	
10513.16s	R3085	
10516.57s	R3086	
10519.96s	R3087	
10523.38s	R3088	
10526.77s	R3089	
10530.18s	R3090	
10533.57s	R3091	
10536.98s	R3092	
10540.37s	R3093	
10543.78s	R3094	
10547.17s	R3095	
10550.58s	R3096	
10553.97s	R3097	
10557.38s	R3098	
10560.77s	R3099	
10564.18s	R3100	
10567.57s	R3101	
10570.98s	R3102	
10574.37s	R3103	
10577.78s	R3104	
10581.17s	R3105	
10584.57s	R3106	
10587.98s	R3107	
10591.37s	R3108	
10594.78s	R3109	
10598.19s	R3110	
10601.58s	R3111	
10604.97s	R3112	
10608.38s	R3113	
10611.77s	R3114	
10615.18s	R3115	
10618.57s	R3116	
10621.98s	R3117	
10625.37s	R3118	
10628.78s	R3119	
10632.17s	R3120	
10635.58s	R3121	
10638.97s	R3122	
10642.38s	R3123	
10645.77s	R3124	
10649.18s	R3125	
10652.58s	R3126	
10655.99s	R3127	
10659.38s	R3128	
10662.79s	R3129	
10666.18s	R3130	
10669.59s	R3131	
10672.98s	R3132	
10676.39s	R3133	
10679.78s	R3134	
10683.19s	R3135	
10686.58s	R3136	
10689.97s	R3137	
10693.38s	R3138	
10696.77s	R3139	
10700.18s	R3140	
10703.57s	R3141	
10706.98s	R3142	
10710.38s	R3143	
10713.79s	R3144	
10717.18s	R3145	
10720.59s	R3146	
10723.98s	R3147	
10727.39s	R3148	
10730.78s	R3149	
10734.19s	R3150	
10737.58s	R3151	
10740.99s	R3152	
10744.38s	R3153	
10747.79s	R3154	
10751.19s	R3155	
10754.60s	R3156	
10757.99s	R3157	
10761.40s	R3158	
10764.79s	R3159	
10768.20s	R3160	
10771.59s	R3161	
10775.00s	R3162	
10778.39s	R3163	
10781.80s	R3164	
10785.19s	R3165	
10788.60s	R3166	
10791.99s	R3167	
10795.38s	R3168	
10798.79s	R3169	
10802.20s	R3170	
10805.60s	R3171	
10808.99s	R3172	
10812.40s	R3173	
10815.79s	R3174	
10819.18s	R3175	
10822.59s	R3176	
10825.99s	R3177	
10829.40s	R3178	
10832.79s	R3179	
10836.20s	R3180	
10839.59s	R3181	
10843.00s	R3182	
10846.39s	R3183	
10849.80s	R3184	
10853.19s	R3185	
10856.60s	R3186	
10859.99s	R3187	
10863.40s	R3188	
10866.79s	R3189	
10870.20s	R3190	
10873.59s	R3191	
10877.00s	R3192	
10880.40s	R3193	
10883.81s	R3194	
10887.20s	R3195	
10890.61s	R3196	
10894.00s	R3197	
10897.39s	R3198	
10900.80s	R3199	
10904.19s	R3200	
10907.60s	R3201	
10911.00s	R3202	
10914.41s	R3203	
10917.80s	R3204	
10921.21s	R3205	
10924.60s	R3206	
10928.01s	R3207	
10931.40s	R3208	
10934.81s	R3209	
10938.20s	R3210	
10941.61s	R3211	
10945.00s	R3212	
10948.41s	R3213	
10951.80s	R3214	
10955.21s	R3215	
10958.60s	R3216	
10962.01s	R3217	
10965.40s	R3218	
10968.81s	R3219	
10972.20s	R3220	
10975.61s	R3221	
10979.00s	R3222	
10982.41s	R3223	
10985.80s	R3224	
10989.21s	R3225	
10992.60s	R3226	
10996.01s	R3227	
10999.40s	R3228	
11002.81s	R3229	
11006.21s	R3230	
11009.61s	R3231	
11013.01s	R3232	
11016.40s	R3233	
11019.81s	R3234	
11023.20s	R3235	
11026.61s	R3236	
11030.00s	R3237	
11033.41s	R3238	
11036.80s	R3239	
11040.21s	R3240	
11043.60s	R3241	
11047.01s	R3242	
11050.40s	R3243	
11053.81s	R3244	
11057.20s	R3245	
11060.62s	R3246	
11064.01s	R3247	
11067.42s	R3248	
11070.81s	R3249	
11074.22s	R3250	
11077.61s	R3251	
11081.02s	R3252	
11084.41s	R3253	
11087.82s	R3254	
11091.21s	R3255	
11094.62s	R3256	
11098.01s	R3257	
11101.42s	R3258	
11104.81s	R3259	
11108.20s	R3260	
11111.61s	R3261	
11115.02s	R3262	
11118.41s	R3263	
11121.82s	R3264	
11125.22s	R3265	
11128.60s	R3266	
11132.02s	R3267	
11135.41s	R3268	
11138.82s	R3269	
11142.23s	R3270	
11145.62s	R3271	
11149.01s	R3272	
11152.42s	R3273	
11155.81s	R3274	
11159.22s	R3275	
11162.61s	R3276	
11166.02s	R3277	
11169.41s	R3278	
11172.82s	R3279	
11176.21s	R3280	
11179.62s	R3281	
11183.01s	R3282	
11186.42s	R3283	
11189.81s	R3284	
11193.22s	R3285	
11196.61s	R3286	
11200.02s	R3287	
11203.41s	R3288	
11206.82s	R3289	
11210.21s	R3290	
11213.62s	R3291	
11217.03s	R3292	
11220.42s	R3293	
11223.83s	R3294	
11227.22s	R3295	
11230.63s	R3296	
11234.02s	R3297	
11237.43s	R3298	
11240.82s	R3299	
11244.23s	R3300	
11247.62s	R3301	
11251.03s	R3302	
11254.42s	R3303	
11257.83s	R3304	
11261.22s	R3305	
11264.63s	R3306	
11268.02s	R3307	
11271.43s	R3308	
11274.82s	R3309	
11278.24s	R3310	
11281.63s	R3311	
11285.02s	R3312	
11288.43s	R3313	
11291.82s	R3314	
11295.23s	R3315	
11298.64s	R3316	
11302.03s	R3317	
11305.42s	R3318	
11308.83s	R3319	
11312.22s	R3320	
11315.63s	R3321	
11319.03s	R3322	
11322.43s	R3323	
11325.82s	R3324	
11329.23s	R3325	
11332.62s	R3326	
11336.03s	R3327	
11339.42s	R3328	
11342.84s	R3329	
11346.22s	R3330	
11349.63s	R3331	
11353.03s	R3332	
11356.44s	R3333	
11359.82s	R3334	
11363.24s	R3335	
11366.63s	R3336	
11370.04s	R3337	
11373.43s	R3338	
11376.84s	R3339	
11380.23s	R3340	
11383.64s	R3341	
11387.03s	R3342	
11390.44s	R3343	
11393.83s	R3344	
11397.24s	R3345	
11400.65s	R3346	
11404.04s	R3347	
11407.45s	R3348	
11410.84s	R3349	
11414.23s	R3350	
11417.64s	R3351	
11421.03s	R3352	
11424.44s	R3353	
11427.85s	R3354	
11431.24s	R3355	
11434.65s	R3356	
11438.04s	R3357	
11441.45s	R3358	
11444.84s	R3359	
11448.23s	R3360	
11451.64s	R3361	
11455.05s	R3362	
11458.44s	R3363	
11461.85s	R3364	
11465.24s	R3365	
11468.65s	R3366	
11472.04s	R3367	
11475.45s	R3368	
11478.85s	R3369	
11482.24s	R3370	
11485.63s	R3371	
11489.04s	R3372	
11492.43s	R3373	
11495.84s	R3374	
11499.24s	R3375	
11502.65s	R3376	
11506.04s	R3377	
11509.45s	R3378	
11512.84s	R3379	
11516.25s	R3380	
11519.64s	R3381	
11523.05s	R3382	
11526.44s	R3383	
11529.85s	R3384	
11533.24s	R3385	
11536.65s	R3386	
11540.04s	R3387	
11543.45s	R3388	
11546.84s	R3389	
11550.25s	R3390	
11553.64s	R3391	
11557.05s	R3392	
11560.44s	R3393	
11563.85s	R3394	
11567.24s	R3395	
11570.65s	R3396	
11574.04s	R3397	
11577.45s	R3398	
11580.85s	R3399	
11584.26s	R3400	
11587.65s	R3401	
11591.06s	R3402	
11594.45s	R3403	
11597.86s	R3404	
11601.25s	R3405	
11604.66s	R3406	
11608.05s	R3407	
11611.46s	R3408	
11614.85s	R3409	
11618.26s	R3410	
11621.65s	R3411	
11625.06s	R3412	
11628.45s	R3413	
11631.86s	R3414	
11635.26s	R3415	
11638.65s	R3416	
11642.06s	R3417	
11645.45s	R3418	
11648.86s	R3419	
11652.25s	R3420	
11655.66s	R3421	
11659.05s	R3422	
11662.46s	R3423	
11665.85s	R3424	
11669.26s	R3425	
11672.65s	R3426	
11676.06s	R3427	
11679.46s	R3428	
11682.86s	R3429	
11686.26s	R3430	
11689.65s	R3431	
11693.06s	R3432	
11696.45s	R3433	
11699.86s	R3434	
11703.25s	R3435	
11706.66s	R3436	
11710.05s	R3437	
11713.46s	R3438	
11716.85s	R3439	
11720.27s	R3440	
11723.66s	R3441	
11727.07s	R3442	
11730.46s	R3443	
11733.87s	R3444	
11737.26s	R3445	
11740.67s	R3446	
11744.06s	R3447	
11747.47s	R3448	
11750.86s	R3449	
11754.27s	R3450	
11757.66s	R3451	
11761.07s	R3452	
11764.46s	R3453	
11767.87s	R3454	
11771.26s	R3455	
11774.67s	R3456	
11778.06s	R3457	
11781.47s	R3458	
11784.86s	R3459	
11788.27s	R3460	
11791.67s	R3461	
11795.06s	R3462	
11798.47s	R3463	
11801.86s	R3464	
11805.27s	R3465	
11808.66s	R3466	
11812.07s	R3467	
11815.48s	R3468	
11818.87s	R3469	
11822.26s	R3470	
11825.67s	R3471	
11829.06s	R3472	
11832.47s	R3473	
11835.86s	R3474	
11839.27s	R3475	
11842.68s	R3476	
11846.07s	R3477	
11849.46s	R3478	
11852.87s	R3479	
11856.26s	R3480	
11859.67s	R3481	
11863.08s	R3482	
11866.48s	R3483	
11869.87s	R3484	
11873.28s	R3485	
11876.67s	R3486	
11880.08s	R3487	
11883.47s	R3488	
11886.88s	R3489	
11890.27s	R3490	
11893.68s	R3491	
11897.07s	R3492	
11900.48s	R3493	
11903.87s	R3494	
11907.28s	R3495	
11910.67s	R3496	
11914.08s	R3497	
11917.48s	R3498	
11920.89s	R3499	
11924.28s	R3500	
11927.67s	R3501	
11931.08s	R3502	
11934.47s	R3503	
11937.88s	R3504	
11941.27s	R3505	
11944.68s	R3506	
11948.07s	R3507	
11951.48s	R3508	
11954.88s	R3509	
11958.27s	R3510	
11961.68s	R3511	
11965.08s	R3512	
11968.48s	R3513	
11971.88s	R3514	
11975.29s	R3515	
11978.68s	R3516	
11982.09s	R3517	
11985.48s	R3518	
11988.89s	R3519	
11992.28s	R3520	
11995.69s	R3521	
11999.08s	R3522	
12002.49s	R3523	
12005.88s	R3524	
12009.29s	R3525	
12012.68s	R3526	
12016.09s	R3527	
12019.48s	R3528	
12022.89s	R3529	
12026.28s	R3530	
12029.69s	R3531	
12033.08s	R3532	
12036.49s	R3533	
12039.88s	R3534	
12043.29s	R3535	
12046.69s	R3536	
12050.08s	R3537	
12053.49s	R3538	
12056.88s	R3539	
12060.29s	R3540	
12063.68s	R3541	
12067.09s	R3542	
12070.48s	R3543	
12073.89s	R3544	
12077.28s	R3545	
12080.69s	R3546	
12084.08s	R3547	
12087.49s	R3548	
12090.88s	R3549	
12094.29s	R3550	
12097.68s	R3551	
12101.09s	R3552	
12104.48s	R3553	
12107.89s	R3554	
12111.28s	R3555	
12114.69s	R3556	
12118.08s	R3557	
12121.49s	R3558	
12124.89s	R3559	
12128.30s	R3560	
12131.69s	R3561	
12135.10s	R3562	
12138.49s	R3563	
12141.90s	R3564	
12145.29s	R3565	
12148.70s	R3566	
12152.09s	R3567	
12155.50s	R3568	
12158.89s	R3569	
12162.30s	R3570	
12165.69s	R3571	
12169.10s	R3572	
12172.49s	R3573	
12175.90s	R3574	
12179.29s	R3575	
12182.70s	R3576	
12186.09s	R3577	
12189.50s	R3578	
12192.89s	R3579	
12196.30s	R3580	
12199.69s	R3581	
12203.10s	R3582	
12206.49s	R3583	
12209.90s	R3584	
12213.29s	R3585	
12216.71s	R3586	
12220.10s	R3587	
12223.51s	R3588	
12226.90s	R3589	
12230.31s	R3590	
12233.70s	R3591	
12237.11s	R3592	
12240.50s	R3593	
12243.91s	R3594	
12247.30s	R3595	
12250.70s	R3596	
12254.10s	R3597	
12257.50s	R3598	
12260.91s	R3599	
12264.30s	R3600	
12267.71s	R3601	
12271.10s	R3602	
12274.51s	R3603	
12277.90s	R3604	
12281.31s	R3605	
12284.70s	R3606	
12288.11s	R3607	
12291.50s	R3608	
12294.91s	R3609	
12298.30s	R3610	
12301.71s	R3611	
12305.10s	R3612	
12308.51s	R3613	
12311.90s	R3614	
12315.31s	R3615	
12318.70s	R3616	
12322.11s	R3617	
12325.50s	R3618	
12328.91s	R3619	
12332.31s	R3620	
12335.72s	R3621	
12339.11s	R3622	
12342.52s	R3623	
12345.91s	R3624	
12349.32s	R3625	
12352.71s	R3626	
12356.12s	R3627	
12359.52s	R3628	
12362.91s	R3629	
12366.32s	R3630	
12369.71s	R3631	
12373.12s	R3632	
12376.51s	R3633	
12379.92s	R3634	
12383.31s	R3635	
12386.70s	R3636	
12390.11s	R3637	
12393.50s	R3638	
12396.91s	R3639	
12400.30s	R3640	
12403.71s	R3641	
12407.12s	R3642	
12410.52s	R3643	
12413.91s	R3644	
12417.32s	R3645	
12420.71s	R3646	
12424.12s	R3647	
12427.51s	R3648	
12430.92s	R3649	
12434.32s	R3650	
12437.71s	R3651	
12441.12s	R3652	
12444.51s	R3653	
12447.92s	R3654	
12451.31s	R3655	
12454.72s	R3656	
