##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 29-Apr-2016 16:37:17
Description of this ExpSetup file : Nir Drift Experiment, Anya/Anka
ExpSetup created : 19-Aug-2015 10:30:51
The EEG system file stored was : C:\EIT-DATA\Nir - Cardiff Phant third go 290416\CardiffPhant_NoJ_REC_290416.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "SingleFreqMode" - single amp and freq, running continuously
Amplitude: 100 uA
Frequency: 2000 Hz
Protocol loaded was Spiral16_ScousTom.txt with 34 lines 
Sources	Sinks
6	1
7	2
11	6
11	7
10	6
7	3
7	1
6	2
14	1
10	5
14	2
5	1
8	3
8	2
8	4
9	4
9	5
10	4
14	10
14	11
9	3
8	5
15	3
16	4
12	9
15	11
16	12
15	12
16	13
15	13
12	7
13	1
13	10
16	6
--------------
Number of repeats : 7000 
Injection time per protocol line : 100 ms or 0.10 s
Estimated time to complete measurements : 6.61 hours 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
1930.87s	R561	
1934.29s	R562	
1937.67s	R563	
1941.09s	R564	
1944.48s	R565	
1947.89s	R566	
1951.28s	R567	
1954.69s	R568	
1958.09s	R569	
1961.48s	R570	
1964.89s	R571	
1968.28s	R572	
1971.69s	R573	
1975.08s	R574	
1978.49s	R575	
1981.88s	R576	
1985.29s	R577	
1988.68s	R578	
1992.09s	R579	
1995.48s	R580	
1998.89s	R581	
2002.28s	R582	
2005.69s	R583	
2009.08s	R584	
2012.49s	R585	
2015.88s	R586	
2019.29s	R587	
2022.68s	R588	
2026.09s	R589	
2029.48s	R590	
2032.89s	R591	
2036.28s	R592	
2039.69s	R593	
2043.08s	R594	
2046.49s	R595	
2049.88s	R596	
2053.29s	R597	
2056.68s	R598	
2060.09s	R599	
2063.48s	R600	
2066.89s	R601	
2070.28s	R602	
2073.69s	R603	
2077.10s	R604	
2080.49s	R605	
2083.88s	R606	
2087.29s	R607	
2090.68s	R608	
2094.09s	R609	
2097.48s	R610	
2100.89s	R611	
2104.30s	R612	
2107.69s	R613	
2111.08s	R614	
2114.49s	R615	
2117.88s	R616	
2121.30s	R617	
2124.69s	R618	
2128.10s	R619	
2131.49s	R620	
2134.90s	R621	
2138.29s	R622	
2141.70s	R623	
2145.09s	R624	
2148.50s	R625	
2151.89s	R626	
2155.30s	R627	
2158.69s	R628	
2162.10s	R629	
2165.49s	R630	
2168.90s	R631	
2172.29s	R632	
2175.70s	R633	
2179.09s	R634	
2182.51s	R635	
2185.90s	R636	
2189.31s	R637	
2192.70s	R638	
2196.11s	R639	
2199.50s	R640	
2202.91s	R641	
2206.30s	R642	
2209.71s	R643	
2213.10s	R644	
2216.49s	R645	
2219.90s	R646	
2223.31s	R647	
2226.70s	R648	
2230.11s	R649	
2233.50s	R650	
2236.89s	R651	
2240.30s	R652	
2243.70s	R653	
2247.11s	R654	
2250.50s	R655	
2253.91s	R656	
2257.30s	R657	
2260.71s	R658	
2264.10s	R659	
2267.51s	R660	
2270.90s	R661	
2274.31s	R662	
2277.71s	R663	
2281.12s	R664	
2284.51s	R665	
2287.90s	R666	
2291.31s	R667	
2294.72s	R668	
2298.12s	R669	
2301.51s	R670	
2304.92s	R671	
2308.31s	R672	
2311.72s	R673	
2315.11s	R674	
2318.52s	R675	
2321.91s	R676	
2325.32s	R677	
2328.71s	R678	
2332.12s	R679	
2335.51s	R680	
2338.92s	R681	
2342.31s	R682	
2345.72s	R683	
2349.11s	R684	
2352.52s	R685	
2355.91s	R686	
2359.32s	R687	
2362.71s	R688	
2366.12s	R689	
2369.51s	R690	
2372.92s	R691	
2376.31s	R692	
2379.72s	R693	
2383.11s	R694	
2386.52s	R695	
2389.91s	R696	
2393.32s	R697	
2396.71s	R698	
2400.12s	R699	
2403.52s	R700	
2406.93s	R701	
2410.32s	R702	
2413.73s	R703	
2417.12s	R704	
2420.53s	R705	
2423.92s	R706	
2427.33s	R707	
2430.72s	R708	
2434.11s	R709	
2437.53s	R710	
2440.92s	R711	
2444.33s	R712	
2447.72s	R713	
2451.13s	R714	
2454.52s	R715	
2457.93s	R716	
2461.32s	R717	
2464.73s	R718	
2468.12s	R719	
2471.53s	R720	
2474.92s	R721	
2478.33s	R722	
2481.72s	R723	
2485.13s	R724	
2488.52s	R725	
2491.93s	R726	
2495.33s	R727	
2498.73s	R728	
2502.12s	R729	
2505.53s	R730	
2508.93s	R731	
2512.34s	R732	
2515.73s	R733	
2519.14s	R734	
2522.53s	R735	
2525.94s	R736	
2529.33s	R737	
2532.72s	R738	
2536.13s	R739	
2539.54s	R740	
2542.93s	R741	
2546.34s	R742	
2549.73s	R743	
2553.14s	R744	
2556.53s	R745	
2559.94s	R746	
2563.33s	R747	
2566.74s	R748	
2570.13s	R749	
2573.54s	R750	
2576.93s	R751	
2580.32s	R752	
2583.73s	R753	
2587.14s	R754	
2590.53s	R755	
2593.94s	R756	
2597.33s	R757	
2600.73s	R758	
2604.14s	R759	
2607.53s	R760	
2610.94s	R761	
2614.34s	R762	
2617.75s	R763	
2621.14s	R764	
2624.53s	R765	
2627.94s	R766	
2631.34s	R767	
2634.75s	R768	
2638.14s	R769	
2641.55s	R770	
2644.94s	R771	
2648.35s	R772	
2651.74s	R773	
2655.15s	R774	
2658.54s	R775	
2661.95s	R776	
2665.34s	R777	
2668.75s	R778	
2672.14s	R779	
2675.55s	R780	
2678.94s	R781	
2682.35s	R782	
2685.74s	R783	
2689.15s	R784	
2692.54s	R785	
2695.95s	R786	
2699.34s	R787	
2702.75s	R788	
2706.14s	R789	
2709.55s	R790	
2712.94s	R791	
2716.35s	R792	
2719.74s	R793	
2723.15s	R794	
2726.54s	R795	
2729.95s	R796	
2733.34s	R797	
2736.75s	R798	
2740.14s	R799	
2743.55s	R800	
2746.94s	R801	
2750.35s	R802	
2753.74s	R803	
2757.15s	R804	
2760.54s	R805	
2763.96s	R806	
2767.35s	R807	
2770.76s	R808	
2774.15s	R809	
2777.56s	R810	
2780.95s	R811	
2784.34s	R812	
2787.75s	R813	
2791.14s	R814	
2794.55s	R815	
2797.94s	R816	
2801.35s	R817	
2804.76s	R818	
2808.15s	R819	
2811.55s	R820	
2814.96s	R821	
2818.35s	R822	
2821.76s	R823	
2825.17s	R824	
2828.57s	R825	
2831.96s	R826	
2835.37s	R827	
2838.76s	R828	
2842.15s	R829	
2845.56s	R830	
2848.97s	R831	
2852.37s	R832	
2855.76s	R833	
2859.17s	R834	
2862.56s	R835	
2865.97s	R836	
2869.36s	R837	
2872.77s	R838	
2876.16s	R839	
2879.57s	R840	
2882.96s	R841	
2886.37s	R842	
2889.76s	R843	
2893.17s	R844	
2896.56s	R845	
2899.97s	R846	
2903.36s	R847	
2906.75s	R848	
2910.16s	R849	
2913.55s	R850	
2916.96s	R851	
2920.37s	R852	
2923.77s	R853	
2927.16s	R854	
2930.57s	R855	
2933.96s	R856	
2937.37s	R857	
2940.76s	R858	
2944.17s	R859	
2947.56s	R860	
2950.97s	R861	
2954.36s	R862	
2957.77s	R863	
2961.16s	R864	
2964.57s	R865	
2967.96s	R866	
2971.37s	R867	
2974.76s	R868	
2978.17s	R869	
2981.56s	R870	
2984.98s	R871	
2988.36s	R872	
2991.77s	R873	
2995.17s	R874	
2998.58s	R875	
3001.96s	R876	
3005.38s	R877	
3008.77s	R878	
3012.18s	R879	
3015.57s	R880	
3018.98s	R881	
3022.37s	R882	
3025.78s	R883	
3029.17s	R884	
3032.57s	R885	
3035.98s	R886	
3039.37s	R887	
3042.78s	R888	
3046.19s	R889	
3049.58s	R890	
3052.97s	R891	
3056.38s	R892	
3059.77s	R893	
3063.18s	R894	
3066.57s	R895	
3069.98s	R896	
3073.37s	R897	
3076.79s	R898	
3080.18s	R899	
3083.57s	R900	
3086.98s	R901	
3090.39s	R902	
3093.79s	R903	
3097.18s	R904	
3100.59s	R905	
3103.98s	R906	
3107.39s	R907	
3110.78s	R908	
3114.19s	R909	
3117.59s	R910	
3120.98s	R911	
3124.39s	R912	
3127.78s	R913	
3131.19s	R914	
3134.58s	R915	
3137.99s	R916	
3141.39s	R917	
3144.78s	R918	
3148.19s	R919	
3151.58s	R920	
3154.99s	R921	
3158.38s	R922	
3161.79s	R923	
3165.19s	R924	
3168.58s	R925	
3171.99s	R926	
3175.38s	R927	
3178.79s	R928	
3182.18s	R929	
3185.59s	R930	
3189.00s	R931	
3192.39s	R932	
3195.80s	R933	
3199.19s	R934	
3202.58s	R935	
3205.99s	R936	
3209.39s	R937	
3212.79s	R938	
3216.18s	R939	
3219.59s	R940	
3222.98s	R941	
3226.39s	R942	
3229.79s	R943	
3233.20s	R944	
3236.59s	R945	
3240.00s	R946	
3243.39s	R947	
3246.80s	R948	
3250.19s	R949	
3253.60s	R950	
3256.99s	R951	
3260.40s	R952	
3263.79s	R953	
3267.20s	R954	
3270.59s	R955	
3274.00s	R956	
3277.39s	R957	
3280.80s	R958	
3284.19s	R959	
3287.60s	R960	
3290.99s	R961	
3294.40s	R962	
3297.79s	R963	
3301.21s	R964	
3304.59s	R965	
3308.00s	R966	
3311.39s	R967	
3314.81s	R968	
3318.20s	R969	
3321.61s	R970	
3325.00s	R971	
3328.41s	R972	
3331.80s	R973	
3335.21s	R974	
3338.60s	R975	
3342.01s	R976	
3345.40s	R977	
3348.81s	R978	
3352.20s	R979	
3355.61s	R980	
3359.01s	R981	
3362.40s	R982	
3365.81s	R983	
3369.20s	R984	
3372.61s	R985	
3376.00s	R986	
3379.41s	R987	
3382.81s	R988	
3386.20s	R989	
3389.61s	R990	
3393.00s	R991	
3396.41s	R992	
3399.80s	R993	
3403.21s	R994	
3406.60s	R995	
3410.01s	R996	
3413.40s	R997	
3416.81s	R998	
3420.21s	R999	
3423.60s	R1000	
3427.01s	R1001	
3430.42s	R1002	
3433.81s	R1003	
3437.20s	R1004	
3440.62s	R1005	
3444.01s	R1006	
3447.42s	R1007	
3450.81s	R1008	
3454.22s	R1009	
3457.61s	R1010	
3461.02s	R1011	
3464.41s	R1012	
3467.82s	R1013	
3471.21s	R1014	
3474.62s	R1015	
3478.01s	R1016	
3481.42s	R1017	
3484.81s	R1018	
3488.22s	R1019	
3491.61s	R1020	
3495.02s	R1021	
3498.42s	R1022	
3501.83s	R1023	
3505.21s	R1024	
3508.62s	R1025	
3512.01s	R1026	
3515.42s	R1027	
3518.81s	R1028	
3522.22s	R1029	
3525.61s	R1030	
3529.02s	R1031	
3532.41s	R1032	
3535.82s	R1033	
3539.21s	R1034	
3542.62s	R1035	
3546.01s	R1036	
3549.42s	R1037	
3552.81s	R1038	
3556.22s	R1039	
3559.62s	R1040	
3563.03s	R1041	
3566.42s	R1042	
3569.82s	R1043	
3573.21s	R1044	
3576.63s	R1045	
3580.02s	R1046	
3583.41s	R1047	
3586.82s	R1048	
3590.21s	R1049	
3593.62s	R1050	
3597.03s	R1051	
3600.43s	R1052	
3603.82s	R1053	
3607.23s	R1054	
3610.62s	R1055	
3614.03s	R1056	
3617.42s	R1057	
3620.83s	R1058	
3624.22s	R1059	
3627.63s	R1060	
3631.02s	R1061	
3634.43s	R1062	
3637.82s	R1063	
3641.23s	R1064	
3644.62s	R1065	
3648.03s	R1066	
3651.42s	R1067	
3654.83s	R1068	
3658.22s	R1069	
3661.64s	R1070	
3665.02s	R1071	
3668.43s	R1072	
3671.82s	R1073	
3675.23s	R1074	
3678.62s	R1075	
3682.03s	R1076	
3685.42s	R1077	
3688.84s	R1078	
3692.23s	R1079	
3695.64s	R1080	
3699.03s	R1081	
3702.44s	R1082	
3705.83s	R1083	
3709.24s	R1084	
3712.63s	R1085	
3716.02s	R1086	
3719.43s	R1087	
3722.84s	R1088	
3726.24s	R1089	
3729.65s	R1090	
3733.04s	R1091	
3736.43s	R1092	
3739.84s	R1093	
3743.25s	R1094	
3746.65s	R1095	
3750.04s	R1096	
3753.43s	R1097	
3756.84s	R1098	
3760.23s	R1099	
3763.64s	R1100	
3767.05s	R1101	
3770.45s	R1102	
3773.84s	R1103	
3777.25s	R1104	
3780.64s	R1105	
3784.04s	R1106	
3787.45s	R1107	
3790.84s	R1108	
3794.25s	R1109	
3797.64s	R1110	
3801.05s	R1111	
3804.44s	R1112	
3807.85s	R1113	
3811.24s	R1114	
3814.65s	R1115	
3818.04s	R1116	
3821.45s	R1117	
3824.84s	R1118	
3828.25s	R1119	
3831.64s	R1120	
3835.05s	R1121	
3838.44s	R1122	
3841.85s	R1123	
3845.24s	R1124	
3848.65s	R1125	
3852.04s	R1126	
3855.45s	R1127	
3858.84s	R1128	
3862.25s	R1129	
3865.64s	R1130	
3869.06s	R1131	
3872.44s	R1132	
3875.86s	R1133	
3879.25s	R1134	
3882.66s	R1135	
3886.05s	R1136	
3889.46s	R1137	
3892.85s	R1138	
3896.26s	R1139	
3899.65s	R1140	
3903.06s	R1141	
3906.45s	R1142	
3909.86s	R1143	
3913.25s	R1144	
3916.66s	R1145	
3920.05s	R1146	
3923.46s	R1147	
3926.85s	R1148	
3930.26s	R1149	
3933.65s	R1150	
3937.06s	R1151	
3940.45s	R1152	
3943.86s	R1153	
3947.25s	R1154	
3950.66s	R1155	
3954.05s	R1156	
3957.45s	R1157	
3960.86s	R1158	
3964.27s	R1159	
3967.66s	R1160	
3971.05s	R1161	
3974.46s	R1162	
3977.85s	R1163	
3981.26s	R1164	
3984.66s	R1165	
3988.07s	R1166	
3991.46s	R1167	
3994.87s	R1168	
3998.26s	R1169	
4001.67s	R1170	
4005.06s	R1171	
4008.46s	R1172	
4011.87s	R1173	
4015.26s	R1174	
4018.67s	R1175	
4022.06s	R1176	
4025.47s	R1177	
4028.86s	R1178	
4032.27s	R1179	
4035.66s	R1180	
4039.07s	R1181	
4042.46s	R1182	
4045.87s	R1183	
4049.26s	R1184	
4052.67s	R1185	
4056.06s	R1186	
4059.47s	R1187	
4062.86s	R1188	
4066.27s	R1189	
4069.66s	R1190	
4073.07s	R1191	
4076.46s	R1192	
4079.87s	R1193	
4083.26s	R1194	
4086.67s	R1195	
4090.06s	R1196	
4093.47s	R1197	
4096.86s	R1198	
4100.27s	R1199	
4103.66s	R1200	
4107.07s	R1201	
4110.47s	R1202	
4113.88s	R1203	
4117.27s	R1204	
4120.68s	R1205	
4124.07s	R1206	
4127.46s	R1207	
4130.87s	R1208	
4134.28s	R1209	
4137.67s	R1210	
4141.08s	R1211	
4144.47s	R1212	
4147.87s	R1213	
4151.28s	R1214	
4154.67s	R1215	
4158.08s	R1216	
4161.47s	R1217	
4164.88s	R1218	
4168.27s	R1219	
4171.68s	R1220	
